_c0,ts,open,high,low,close,volume,ts_readable,ma_50_raw,ma_50,prev_close,prev_ma50,buy_signal
12873,1736461980000,186.26,186.31,186.12,186.12,1207.326,2025-01-10 04:03:00,184.86620000000005,184.86620000000005,186.26,184.85660000000007,0
12874,1736462040000,186.12,186.51,186.06,186.51,1965.984,2025-01-10 04:04:00,184.88320000000007,184.88320000000007,186.12,184.86620000000005,0
12875,1736462100000,186.51,186.53,186.32,186.33,1058.189,2025-01-10 04:05:00,184.90320000000008,184.90320000000008,186.51,184.88320000000007,0
12876,1736462160000,186.32,186.85,186.28,186.79,6019.898,2025-01-10 04:06:00,184.93600000000006,184.93600000000006,186.33,184.90320000000008,0
12877,1736462220000,186.79,187.35,186.79,187.05,4882.26,2025-01-10 04:07:00,184.97640000000004,184.97640000000004,186.79,184.93600000000006,0
12878,1736462280000,187.05,187.58,187.04,187.55,2259.388,2025-01-10 04:08:00,185.03060000000002,185.03060000000002,187.05,184.97640000000004,0
12879,1736462340000,187.55,187.59,187.0,187.07,2458.413,2025-01-10 04:09:00,185.07659999999996,185.07659999999996,187.55,185.03060000000002,0
12880,1736462400000,187.07,187.07,186.77,186.85,1981.471,2025-01-10 04:10:00,185.1108,185.1108,187.07,185.07659999999996,0
12881,1736462460000,186.85,187.32,186.84,187.16,4802.63,2025-01-10 04:11:00,185.1516,185.1516,186.85,185.1108,0
12882,1736462520000,187.16,187.16,186.75,186.76,1426.509,2025-01-10 04:12:00,185.1916,185.1916,187.16,185.1516,0
12883,1736462580000,186.76,187.1,186.75,186.94,1229.43,2025-01-10 04:13:00,185.22820000000004,185.22820000000004,186.76,185.1916,0
12884,1736462640000,186.93,186.94,186.76,186.84,1534.815,2025-01-10 04:14:00,185.26580000000004,185.26580000000004,186.94,185.22820000000004,0
12885,1736462700000,186.84,186.89,186.82,186.82,685.965,2025-01-10 04:15:00,185.30300000000003,185.30300000000003,186.84,185.26580000000004,0
12886,1736462760000,186.83,186.86,186.81,186.86,640.137,2025-01-10 04:16:00,185.33860000000004,185.33860000000004,186.82,185.30300000000003,0
12887,1736462820000,186.86,186.91,186.83,186.84,6223.662,2025-01-10 04:17:00,185.3782,185.3782,186.86,185.33860000000004,0
12888,1736462880000,186.83,186.83,186.77,186.78,922.827,2025-01-10 04:18:00,185.41920000000005,185.41920000000005,186.84,185.3782,0
12889,1736462940000,186.77,186.8,186.62,186.62,964.51,2025-01-10 04:19:00,185.45620000000002,185.45620000000002,186.78,185.41920000000005,0
12890,1736463000000,186.61,186.68,186.54,186.67,1743.402,2025-01-10 04:20:00,185.49400000000006,185.49400000000006,186.62,185.45620000000002,0
12891,1736463060000,186.67,186.7,186.52,186.52,694.246,2025-01-10 04:21:00,185.52640000000008,185.52640000000008,186.67,185.49400000000006,0
12892,1736463120000,186.52,186.54,186.29,186.33,1645.773,2025-01-10 04:22:00,185.554,185.554,186.52,185.52640000000008,0
12893,1736463180000,186.33,186.37,186.33,186.37,586.305,2025-01-10 04:23:00,185.57900000000006,185.57900000000006,186.33,185.554,0
12894,1736463240000,186.36,186.37,186.16,186.27,1574.039,2025-01-10 04:24:00,185.60280000000003,185.60280000000003,186.37,185.57900000000006,0
12895,1736463300000,186.28,186.4,186.28,186.4,1262.107,2025-01-10 04:25:00,185.6396,185.6396,186.27,185.60280000000003,0
